time,open,high,low,close,MA,MA,MA,MA,MA,MA,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2017-01-17,29.585,30.06,29.555,30,26.6926125,27.235950000000045,28.370200000000054,29.36037499999997,29.570749999999997,29.857500000000016,39.56670066472058,38.90840480714979,,,,,0,137759372,122821212.96,70.62962150856949,65.6324710380375,,,,,,
2017-01-18,30,30.125,29.9275,29.9975,26.703699999999998,27.273500000000045,28.421000000000053,29.41062499999997,29.666749999999997,29.901500000000016,39.681157375357714,38.97865504062324,,,,,0,94851844,122563641.68,70.54383832826004,65.85207350608334,,,,,,
2017-01-19,29.85,30.0225,29.8425,29.945,26.7161625,27.31123333333338,28.475700000000057,29.449874999999974,29.760749999999994,29.90300000000002,39.54196726073886,39.02986524245193,,,,,0,102389164,122144465.2,68.65797492808848,66.18147375038855,,,,,,
2017-01-20,30.1125,30.1125,29.93365,30,26.7274625,27.348650000000045,28.523650000000057,29.48799999999998,29.845499999999994,29.94050000000002,39.75809408532087,39.09606786453093,,,,,0,130391568,122147496.56,69.57559172707558,66.59136612298266,,,,,,
2017-01-23,30,30.2025,29.9425,30.02,26.741887499999997,27.389900000000047,28.56875000000006,29.525749999999977,29.899749999999994,29.992500000000017,39.65112644244951,39.1465277352508,,,,,0,88200872,121971179.68,69.92046332863076,67.46565989352553,,,,,,
2017-01-24,29.8875,30.025,29.875,29.9925,26.756025,27.431350000000045,28.614200000000054,29.571749999999973,29.924249999999994,29.99100000000002,39.7216581317323,39.19881231674912,,,,,0,92844152,119093953.84,68.76621881247003,68.1477859554993,,,,,,
2017-01-25,30.105,30.525,30.07,30.47,26.772100000000002,27.47463333333338,28.684650000000055,29.638749999999977,29.9935,30.085500000000017,40.09087440297885,39.27990887004273,,,,,0,130346692,117130124.4,76.13350488335472,69.42029281600966,,,,,,
2017-01-26,30.4175,30.61,30.4,30.485,26.786474999999996,27.518616666666713,28.75220000000006,29.697249999999976,30.048249999999996,30.193500000000018,39.791243359424286,39.32639382362287,,,,,0,105350304,116505618.64,76.32244422819785,70.50084276200064,,,,,,
2017-01-27,30.535,30.5875,30.4,30.4875,26.798862499999995,27.561700000000044,28.833400000000054,29.762124999999976,30.11575,30.291000000000018,39.823789121688705,39.371611577992496,,,,,0,82251776,114056613.84,76.35604021516714,71.19378256390614,,,,,,
2017-01-30,30.2325,30.4075,30.165,30.4075,26.810774999999992,27.608750000000043,28.90600000000006,29.823374999999977,30.180499999999995,30.36850000000002,39.75373579873534,39.40635014351457,,,,,0,121510012,113905653.28,72.79648598975288,71.36615824774249,,,,,,
2017-01-31,30.2875,30.3475,30.155,30.3375,26.825149999999994,27.657600000000045,28.96280000000006,29.892499999999973,30.214249999999993,30.43750000000002,39.902012363540706,39.45141034533513,,,,,0,196803972,113134490.96,69.73322025576743,71.29179970688878,,,,,,
2017-02-01,31.7575,32.6225,31.7525,32.1875,26.85173750000001,27.716199999999997,29.056800000000052,30.049999999999972,30.433249999999997,30.781000000000024,42.37297432499441,39.7170070707587,,,,,0,447940160,119882733.92,86.22770831840177,72.24847855906948,,,,,,
2017-02-02,31.99375,32.3475,31.945,32.1325,26.878762500000008,27.773083333333332,29.149150000000056,30.206374999999973,30.651999999999997,31.110500000000023,42.28795156938869,39.950729297906875,,,,,0,134841644,120305253.44,84.74899887722525,73.39077880583976,,,,,,
2017-02-03,32.0775,32.2975,32.04,32.27,26.906200000000013,27.82888333333333,29.235900000000058,30.362249999999978,30.878999999999998,31.46700000000002,42.44470263279041,40.177454146532654,,,,,0,98029204,119924671.84,85.42206347621166,74.70244106265524,,,,,,
2017-02-06,32.2825,32.625,32.225,32.5725,26.936600000000013,27.886216666666666,29.328350000000054,30.516999999999978,31.134249999999998,31.900000000000023,42.53358114754812,40.39164751026133,,,,,0,107383696,119995103.04,86.80204250094717,75.85761399068221,,,,,,
2017-02-07,32.635,33.0225,32.6125,32.8825,26.96891250000001,27.947116666666663,29.42985000000005,30.673749999999973,31.423249999999996,32.40900000000002,43.0294081725233,40.631443934103324,,,,,0,152735364,120855698.8,88.05043076829249,77.10808487925597,,,,,,
2017-02-08,32.8375,33.055,32.805,33.01,27.002612500000012,28.007966666666665,29.531100000000052,30.83537499999997,31.677249999999997,32.573500000000024,43.18645664346643,40.8637178167727,,,,,0,92016288,121777950.8,88.53094235330508,78.52758255248571,,,,,,
2017-02-09,32.9125,33.11125,32.78,33.105,27.037700000000008,28.068766666666665,29.63535000000005,30.99374999999997,31.939249999999998,32.768000000000015,43.280733177319604,41.08344648591333,,,,,0,113399436,121870420.88,88.88943948571155,79.907143106674,,,,,,
2017-02-10,33.115,33.235,33.0125,33.03,27.080575000000014,28.127833333333328,29.738650000000053,31.15462499999997,32.19349999999999,32.92000000000002,42.93569395156573,41.251832619154456,,,,,0,80261832,121193357.52,86.58831775255493,81.0977041369543,,,,,,
2017-02-13,33.27,33.455,33.1875,33.3225,27.12865000000001,28.188349999999996,29.852500000000056,31.332749999999976,32.485,33.07000000000002,43.16199645956565,41.42548387737366,,,,,0,92141684,120143210.56,87.90353416591357,82.46465523362883,,,,,,
2017-02-14,33.3675,33.7725,33.3125,33.755,27.180250000000015,28.25101666666667,29.98015000000005,31.520499999999977,32.82675,33.24450000000002,43.49404058842479,41.61353448746922,,,,,0,132904892,119834359.44,89.53734181983597,83.42207215766322,,,,,,
2017-02-15,33.88,34.0675,33.655,33.8775,27.23258750000001,28.315416666666668,30.108200000000053,31.714499999999976,32.99575,33.41800000000002,43.477656379674706,41.78300011403335,,,,,0,142492400,120561967.68,89.95132791798864,84.39556384979112,,,,,,
2017-02-16,33.9175,33.975,33.70995,33.83625,27.282793750000014,28.37634166666667,30.23937500000005,31.90906249999997,33.166124999999994,33.56425000000002,43.209002873257425,41.91263672850827,,,,,0,90338220,119622768.88,88.6788902479384,85.27576742356051,,,,,,
2017-02-17,33.775,33.9575,33.775,33.93,27.334706250000014,28.437908333333333,30.36822500000005,32.10556249999998,33.33212499999999,33.74425000000002,43.36619490290642,42.044778380726285,,,,,0,88792788,119302987.68,89.05774081624233,86.43728562545262,,,,,,
2017-02-21,34.0575,34.1875,33.995,34.175,27.389031250000013,28.49935833333333,30.49657500000005,32.313312499999974,33.492374999999996,33.91475000000002,43.60613484407696,42.18671987739453,,,,,0,98028624,118863662.64,89.99957983962545,87.88488273858533,,,,,,
2017-02-22,34.1075,34.28,34.0275,34.2775,27.444518750000015,28.561425,30.62152500000005,32.52756249999997,33.631874999999994,34.019250000000014,43.47398726631662,42.30374418547836,,,,,0,83347728,118365151.92,90.37292167056651,88.18096940659709,,,,,90.37292167056651,
2017-02-23,34.345,34.37,34.075,34.1325,27.499193750000014,28.622374999999998,30.73442500000005,32.71068749999998,33.74412499999999,34.070250000000016,43.3369871594112,42.3976753649268,,,,,0,83152744,117275996.64,85.50960947812743,88.23529873523296,,,,,,
2017-02-24,33.9775,34.165,33.82,34.165,27.553243750000014,28.684424999999997,30.85122500000005,32.894687499999975,33.85012499999999,34.13600000000002,43.36008393229575,42.48516705286943,,,,,0,87106340,116908173.28,85.69541944095994,88.2548241612864,,,,,,
2017-02-27,34.285,34.35875,34.07,34.2325,27.608768750000014,28.74820833333333,30.95992500000005,33.08193749999998,33.97037499999999,34.19650000000002,43.38096766835351,42.566603472458894,,,,,0,81029704,115030062.48,86.09424999257213,88.20426755354534,,,,,,
2017-02-28,34.27,34.35875,34.175,34.2475,27.667081250000013,28.81429166666667,31.06892500000005,33.273937499999974,34.06287499999999,34.21100000000002,43.35583922354679,42.63835217710325,,,,,0,93931440,114186144.56,86.18642043969261,88.07112395864533,,,,,,
2017-03-01,34.4725,35.0375,34.39875,34.9475,27.728668750000015,28.886158333333334,31.18877500000005,33.50443749999998,34.18212499999999,34.34500000000001,44.35637406711682,42.7945359852863,,,,,0,145658340,113377347.84,89.63808609088431,88.1502056541867,,,,,,
2017-03-02,35,35.06965,34.69,34.74,27.785018750000017,28.946174999999997,31.30372500000005,33.632062499999975,34.26837499999999,34.46650000000002,43.49822200704519,42.858507441809834,,,,,0,104843936,111926135.84,83.0160817209989,87.73068009956437,,,,,,
2017-03-03,34.695,34.9575,34.6475,34.945,27.842881250000016,29.005241666666667,31.41942500000005,33.772687499999975,34.37924999999999,34.62250000000002,44.012813192718475,42.963444328256074,,,,,0,86284484,111429471.68,84.25372414239267,87.56392341312421,,,,,,
